x1,x2,x3,x4,x5,x6,x7,x8,Tot-Deformation-Max,Stress-Max,Life-Min,Mass,Volume
233.803,35.637,33.412,27.26,17.919,6.132,7.038,98.007,0.162678416,125.7721899,1.36E+07,1.362267478,1.74E+05
96.706,35.124,53.891,16.766,14.427,5.734,18.056,55.13,0.161535531,124.8197064,1.58E+07,1.453801038,1.85E+05
116.952,21.533,29.305,30.258,24.286,48.755,38.191,35.854,0.161522776,124.8009496,1.59E+07,1.442418238,1.84E+05
194.16,30.051,57.257,14.709,8.408,31.722,37.52,52.099,0.162364551,125.6686357,1.38E+07,1.384721205,1.76E+05
249.63,16.532,35.909,14.11,10.291,35.048,59.825,42.615,0.16244026,125.6148882,1.40E+07,1.411306781,1.80E+05
190.339,13.647,45.373,25.167,21.185,77.08,40.143,71.08,0.162801976,125.6590639,1.39E+07,1.3979211,1.78E+05
209.485,22.077,35.548,25.083,12.209,39.303,50.23,16.113,0.161359843,124.8756179,1.57E+07,1.425790619,1.82E+05
174.436,29.788,49.618,38.833,9.9,33.594,17.222,84.259,0.162894252,126.0236017,1.31E+07,1.334539379,1.70E+05
84.716,12.79,47.503,26.038,20.998,7.078,29.428,76.225,0.1624304,125.2769796,1.47E+07,1.466875542,1.87E+05
243.384,10.912,29.776,21.1,17.8,68.147,26.031,94.002,0.16304037,125.6156906,1.40E+07,1.423074306,1.81E+05
143.232,23.956,57.691,15.347,13.783,63.884,57.697,11.684,0.161120716,124.601966,1.64E+07,1.444127682,1.84E+05
197.15,36.659,50.327,37.051,22.561,41.671,28.815,77.2,0.163261341,126.4393343,1.23E+07,1.31881502,1.68E+05
123.804,28.706,39.361,35.783,6.589,88.411,48.356,93.715,0.164390037,126.7680236,1.17E+07,1.361598704,1.73E+05
220.882,29.223,48.925,17.73,13.066,66.599,61.991,75.655,0.164436696,127.1459097,1.10E+07,1.306534769,1.66E+05
114.926,9.498,32.789,35.285,24.924,26.564,70.123,62.997,0.163443675,126.1348757,1.29E+07,1.415537004,1.80E+05
174.939,4.129,36.65,36.317,18.976,46.382,45.136,86.713,0.163632411,126.0947871,1.30E+07,1.418079158,1.81E+05
232.223,26.531,27.913,35.215,9.147,47.734,50.158,13.065,0.161451282,125.0205598,1.53E+07,1.397720032,1.78E+05
246.78,7.726,25.782,28.393,12.614,64.622,13.159,65.24,0.161583392,124.7461148,1.60E+07,1.474722914,1.88E+05
