alg,fid,dim,seed,f
RUN,12,10,2055,2870.857769155529
GWO,4,10,2026,830.9127152786643
GWO,4,10,2027,832.0
GWO,4,10,2028,838.0
GWO,4,10,2029,818.8832861921442
GWO,4,10,2030,849.319799824991
GWO,4,10,2031,829.4102417786517
GWO,4,10,2032,858.2191918465014
GWO,4,10,2033,858.1985412003608
GWO,4,10,2034,829.0217893571828
GWO,4,10,2035,842.9379245122697
GWO,4,10,2036,857.3435201359472
GWO,4,10,2037,858.0
GWO,4,10,2038,831.3176031673758
GWO,4,10,2039,837.4820257234612
GWO,4,10,2040,839.1372330585181
GWO,4,10,2041,834.4817140493805
GWO,4,10,2042,841.9334718016607
GWO,4,10,2043,844.5126054360296
GWO,4,10,2044,838.2107120447425
GWO,4,10,2045,849.3956660382419
GWO,4,10,2046,838.1462656702759
GWO,4,10,2047,842.5657083868798
GWO,4,10,2048,845.5342755112085
GWO,4,10,2049,854.5338111425076
GWO,4,10,2050,832.5852551925327
GWO,4,10,2051,851.823754622061
GWO,4,10,2052,837.7431595831205
GWO,4,10,2053,828.621737734434
GWO,4,10,2054,841.4256392416877
GWO,4,10,2055,845.6836837310631
GWO,6,10,2026,1760386.6171454084
GWO,6,10,2027,176494.49254728138
GWO,6,10,2028,742492.0925340126
GWO,6,10,2029,730880.8087546984
GWO,6,10,2030,1842884.0113335648
GWO,6,10,2031,400128.182797579
GWO,6,10,2032,3178668.630587468
GWO,6,10,2033,1850417.393292132
GWO,6,10,2034,341056.6124990284
GWO,6,10,2035,135356.5446409964
GWO,6,10,2036,1510029.2127132858
GWO,6,10,2037,104090.80790303789
GWO,6,10,2038,164172.0298166039
GWO,6,10,2039,932866.5719123536
GWO,6,10,2040,1255422.0973881509
GWO,6,10,2041,303344.9094608742
GWO,6,10,2042,2972681.773260597
GWO,6,10,2043,1778380.9861492345
GWO,6,10,2044,2817408.6748261955
GWO,6,10,2045,1067253.2959709065
GWO,6,10,2046,638060.8656597033
GWO,6,10,2047,931238.7548591144
GWO,6,10,2048,980349.7928734164
GWO,6,10,2049,1330495.1405610647
GWO,6,10,2050,2521916.852464468
GWO,6,10,2051,829456.8724003469
GWO,6,10,2052,372570.1238789627
GWO,6,10,2053,3513917.810328331
GWO,6,10,2054,326400.60545056645
GWO,6,10,2055,1030993.9222625376
GWO,7,10,2026,2062.058017806848
GWO,7,10,2027,2066.246918354896
GWO,7,10,2028,2057.621526712797
GWO,7,10,2029,2056.95913043314
GWO,7,10,2030,2055.7451282771062
GWO,7,10,2031,2152.693406510425
GWO,7,10,2032,2057.3387964098392
GWO,7,10,2033,2051.061251272603
GWO,7,10,2034,2065.9378412245937
GWO,7,10,2035,2069.3593652658124
GWO,7,10,2036,2053.1941796001565
GWO,7,10,2037,2059.766524905652
GWO,7,10,2038,2182.377243970732
GWO,7,10,2039,2046.1189944219125
GWO,7,10,2040,2178.7954545168413
GWO,7,10,2041,2066.4240684165484
GWO,7,10,2042,2051.054448553566
GWO,7,10,2043,2063.7274830419105
GWO,7,10,2044,2075.944973959841
GWO,7,10,2045,2060.0211720835982
GWO,7,10,2046,2075.7803309652663
GWO,7,10,2047,2055.994043870789
GWO,7,10,2048,2057.505176323281
GWO,7,10,2049,2053.894863815815
GWO,7,10,2050,2079.8628209583835
GWO,7,10,2051,2054.541465916154
GWO,7,10,2052,2064.493554597226
GWO,7,10,2053,2054.5525846271926
GWO,7,10,2054,2062.713508609333
GWO,7,10,2055,2062.531992924612
GWO,12,10,2026,2869.098142505249
GWO,12,10,2027,2874.652256962954
GWO,12,10,2028,2870.82467870483
GWO,12,10,2029,2868.346159570357
GWO,12,10,2030,2869.165877904616
GWO,12,10,2031,2868.2589459538403
GWO,12,10,2032,2869.054557677008
GWO,12,10,2033,2868.9153994403323
GWO,12,10,2034,2868.6316870199616
GWO,12,10,2035,2867.9802328624646
GWO,12,10,2036,2868.735134900907
GWO,12,10,2037,2867.980226095204
GWO,12,10,2038,2869.29639872799
GWO,12,10,2039,2869.324497899256
GWO,12,10,2040,2868.089969607244
GWO,12,10,2041,2869.1143710880506
GWO,12,10,2042,2868.3393547956184
GWO,12,10,2043,2868.985611057151
GWO,12,10,2044,2869.23467439686
GWO,12,10,2045,2869.0471232126674
GWO,12,10,2046,2869.289425921391
GWO,12,10,2047,2868.1746527180203
GWO,12,10,2048,2900.434390961999
GWO,12,10,2049,2868.678800412172
GWO,12,10,2050,2868.6169526318536
GWO,12,10,2051,2869.485300627244
GWO,12,10,2052,2869.2510482121825
GWO,12,10,2053,2868.555960082089
GWO,12,10,2054,2869.5374435175786
GWO,12,10,2055,2869.490919844437
WOA,4,10,2026,852.0
WOA,4,10,2027,878.0
WOA,4,10,2028,956.0
WOA,4,10,2029,946.5
WOA,4,10,2030,833.1758995107667
